"sku","store_view_code","attribute_set_code","product_type","categories","categories_position","product_websites","cal_tipo","car_capacidad","car_color","car_marcas","car_presentacion","car_tipopapel","cost","country_of_manufacture","created_at","custom_design","custom_design_from","custom_design_to","custom_layout_update","Deal","description","Featured","gallery","gift_message_available","has_options","Hot","hot_date_end","hot_date_start","image","image_label","insumos_tipo_de_maquina","ins_codigo","ins_marca","ins_modelo","lib_abrochadora_numero","lib_alto","lib_ancho","lib_broches_unidades","lib_capacidad","lib_color","lib_contenido","lib_espesor","lib_formato","lib_graduacion","lib_gramaje","lib_marcas","lib_material","lib_micrones","lib_peso","lib_presentacion","lib_tamano","lib_tipo","lib_trazo","lib_uso","mac_ancho","mac_capacidad","mac_formato","mac_marcas","mac_sillas_sillones","mac_tipo","mac_uso","media_gallery","meta_description","meta_keyword","meta_title","minimal_price","msrp","msrp_display_actual_price_type","msrp_enabled","name","news_from_date","news_to_date","options_container","page_layout","price","required_options","res_color","res_formato","res_gramaje","res_hojas","res_marcas","res_tamano","res_tipo","short_description","show_sdes","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","tec_capacidad","tec_color","tec_marcas","tec_presentacion","tec_pulgadas","tec_tamano","tec_tipo","tec_uso","tec_velocidad","thumbnail","thumbnail_label","updated_at","url_key","url_path","visibility","weight","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_group_price_website","_group_price_customer_group","_group_price_price","_media_attribute_id","_media_image","_media_lable","_media_position","_media_is_disabled","price_type","sku_type","weight_type","price_view","shipment_type"
"1005243","","Librería","simple","Default Category,Librería,Librería/Abrochadoras y Sacabroches,Librería/Abrochadoras y Sacabroches/Abrochadoras","Default Category,Librería,Librería/Abrochadoras y Sacabroches,Librería/Abrochadoras y Sacabroches/Abrochadoras,Librería/Abrochadoras y Sacabroches/Abrochadoras=0","empresas","","","","","","","","","2013-12-18 20:36:25","","","","","0","Abrochadora Mit 50 Pinza Pintada. Cuerpo metálico resistente. Profundidad de la boca de abrochado de 4,5 cm. Abrocha 20 hojas.","0","","Use config","0","0","2017-07-12 0:00:00","2014-03-11 0:00:00","/a/b/abro01.jpg","","","","","","Abrochadoras y Sacabroches // 50","","","","Abrochadoras y Sacabroches  //  15-25 hojas","","","","","","","Mit","Pintada","","","Unidades // Por unidad","","Abrochadoras y Sacabroches  //  Pinza","","","","","","","","","","","Abrochadora Mit 50 Pinza Pintada. Abrocha 20 hojas.","Abrochadora, mit, 50, pinza, pintada","Abrochadora Mit 50 Pinza Pintada","","","Use config","Usar configuración","Abrochadora Mit 50 Pinza Pintada","","","Block after Info Column","","10.596.800","","","","","","","","","Abrochadora Mit 50 Pinza Pintada. Abrocha 20 hojas.","No","/a/b/abro01.jpg","","","","","1","2","","","","","","","","","","/a/b/abro01.jpg","","2015-07-31 19:44:14","abrochadora-tipo-pinza-mit-50-pintada","abrochadora-tipo-pinza-mit-50-pintada.html","Catalog, Search","","650","0","1","0","0","1","1.2","1","0","1","1","","1","0","1","1","1","0","1","0","0","1005111","0","1991035","0","1054349","0","","","","","","","","all","3","8.306.900","88","/a/b/abro03.jpg","","3","0","","","","",""
"1304327","","Tecnología e Informática","simple","Default Category","Default Category=0","empresas","","","","","","","","","2013-12-12 10:55:11","","","","","0","<p>
	Mochila Escolar Espalda Violetta para Jard&iacute;n Motivos Varios.</p>
","0","","Use config","0","0","","","/4/b/4b5cc305033cb5dc2dd7b3f5e9e2ff4d_2.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Use config","Usar configuración","Mochila Escolar Espalda Violetta para Jardín Motivos Varios","","","Block after Info Column","","192.9","","","","","","","","","<p>
	Mochila Escolar Espalda Violetta para Jard&iacute;n Motivos Varios.</p>
","","/4/b/4b5cc305033cb5dc2dd7b3f5e9e2ff4d_2.jpg","","","","","2","2","","","","","","","","","","/4/b/4b5cc305033cb5dc2dd7b3f5e9e2ff4d_2.jpg","","2014-07-08 15:51:59","mochila-escolar-espalda-violetta-para-jardin-motivos-varios","mochila-escolar-espalda-violetta-para-jardin-motivos-varios.html","Catalog, Search","","0","0","1","0","0","1","1.2","1","0","1","0","","1","1","0","1","1","0","1","0","0","","","","","","","","","","","","","","all","3","180.3","88","/4/b/4b5cc305033cb5dc2dd7b3f5e9e2ff4d_2.jpg","","1","0","","","","",""
